0,94.2477796076938
0.001,93.8295046257137
0.002,92.5783923181249
0.003,90.5055476463405
0.004,87.6293693264119
0.005,83.9753865207226
0.006,79.5760322393352
0.007,74.4703554622986
0.008,68.7036745381362
0.009,62.3271749349764
0.01,55.3974549147137
0.011,47.9760231628294
0.012,40.128752832945
0.013,31.9252968520468
0.014,23.4384696761755
0.015,14.7436009841592
0.016,5.91786704605133
0.017,-2.9603942989058
0.018,-11.8123789744882
0.019,-20.5595161380493
0.02,-29.124165580882
0.021,-37.4303068682073
0.022,-45.4042141019352
0.023,-52.9751103169557
0.024,-60.0757957024914
0.025,-66.6432440723755
0.026,-72.619162289942
0.027,-77.9505076820337
0.028,-82.5899588495239
0.029,-86.4963356954054
0.03,-89.6349649422467
0.031,-91.9779878946572
0.032,-93.5046077150399
0.033,-94.2012740177936
0.034,-94.0618031434954
0.035,-93.0874330454993
0.036,-91.2868123017746
0.037,-88.6759233495153
0.038,-85.2779406238966
0.039,-81.1230248601473
0.04,-76.2480553847289
0.041,-70.696302771823
0.042,-64.5170447706517
0.043,-57.7651289126867
0.044,-50.5004856810774
0.045,-42.7875965634397
0.046,-34.6949217096064
0.047,-26.294292274492
0.048,-17.6602728396753
0.049,-8.86949957289518
0.05,-1.73130362434961E-14
0.051,8.86949957289515
0.052,17.6602728396753
0.053,26.2942922744919
0.054,34.6949217096063
0.055,42.7875965634396
0.056,50.5004856810773
0.057,57.7651289126866
0.058,64.5170447706517
0.059,70.696302771823
0.06,76.2480553847288
0.061,81.1230248601473
0.062,85.2779406238966
0.063,88.6759233495153
0.064,91.2868123017746
0.065,93.0874330454993
0.066,94.0618031434954
0.067,94.2012740177936
0.068,93.5046077150399
0.069,91.9779878946573
0.07,89.6349649422467
0.071,86.4963356954054
0.072,82.5899588495239
0.073,77.9505076820338
0.074,72.6191622899421
0.075,66.6432440723756
0.076,60.0757957024914
0.077,52.9751103169558
0.078,45.4042141019353
0.079,37.4303068682073
0.08,29.124165580882
0.081,20.5595161380494
0.082,11.8123789744882
0.083,2.96039429890581
0.084,-5.91786704605126
0.085,-14.743600984159
0.086,-23.4384696761755
0.087,-31.9252968520467
0.088,-40.1287528329449
0.089,-47.9760231628293
0.09,-55.3974549147135
0.091,-62.3271749349764
0.092,-68.7036745381361
0.093,-74.4703554622985
0.094,-79.5760322393352
0.095,-83.9753865207225
0.096,-87.6293693264119
0.097,-90.5055476463405
0.098,-92.5783923181249
0.099,-93.8295046257137
0.1,-94.2477796076938
0.101,-93.8295046257137
0.102,-92.5783923181249
0.103,-90.5055476463405
0.104,-87.629369326412
0.105,-83.9753865207226
0.106,-79.5760322393353
0.107,-74.4703554622987
0.108,-68.7036745381363
0.109,-62.3271749349765
0.11,-55.3974549147137
0.111,-47.9760231628295
0.112,-40.1287528329451
0.113,-31.9252968520468
0.114,-23.4384696761755
0.115,-14.7436009841593
0.116,-5.91786704605133
0.117,2.96039429890574
0.118,11.8123789744881
0.119,20.5595161380493
0.12,29.1241655808818
0.121,37.4303068682072
0.122,45.4042141019351
0.123,52.9751103169555
0.124,60.0757957024913
0.125,66.6432440723754
0.126,72.6191622899419
0.127,77.9505076820337
0.128,82.5899588495238
0.129,86.4963356954053
0.13,89.6349649422467
0.131,91.9779878946572
0.132,93.5046077150398
0.133,94.2012740177936
0.134,94.0618031434954
0.135,93.0874330454994
0.136,91.2868123017746
0.137,88.6759233495153
0.138,85.2779406238966
0.139,81.1230248601473
0.14,76.2480553847289
0.141,70.6963027718231
0.142,64.5170447706517
0.143,57.7651289126867
0.144,50.5004856810773
0.145,42.7875965634398
0.146,34.6949217096066
0.147,26.2942922744922
0.148,17.6602728396756
0.149,8.8694995728953
0.15,2.19356796634903E-13
0.151,-8.86949957289486
0.152,-17.6602728396752
0.153,-26.2942922744918
0.154,-34.6949217096062
0.155,-42.7875965634394
0.156,-50.5004856810772
0.157,-57.7651289126866
0.158,-64.5170447706516
0.159,-70.6963027718229
0.16,-76.2480553847289
0.161,-81.1230248601472
0.162,-85.2779406238965
0.163,-88.6759233495153
0.164,-91.2868123017746
0.165,-93.0874330454993
0.166,-94.0618031434954
0.167,-94.2012740177936
0.168,-93.5046077150399
0.169,-91.9779878946572
0.17,-89.6349649422467
0.171,-86.4963356954054
0.172,-82.5899588495239
0.173,-77.9505076820338
0.174,-72.6191622899421
0.175,-66.6432440723755
0.176,-60.0757957024915
0.177,-52.975110316956
0.178,-45.4042141019355
0.179,-37.4303068682074
0.18,-29.1241655808824
0.181,-20.5595161380496
0.182,-11.8123789744883
0.183,-2.96039429890618
0.184,5.91786704605106
0.185,14.743600984159
0.186,23.4384696761751
0.187,31.9252968520465
0.188,40.1287528329448
0.189,47.9760231628294
0.19,55.3974549147135
0.191,62.3271749349763
0.192,68.7036745381362
0.193,74.4703554622985
0.194,79.5760322393352
0.195,83.9753865207226
0.196,87.6293693264119
0.197,90.5055476463405
0.198,92.5783923181249
0.199,93.8295046257137
0.2,94.2477796076938
0.201,93.8295046257137
0.202,92.5783923181249
0.203,90.5055476463405
0.204,87.6293693264119
0.205,83.9753865207226
0.206,79.5760322393352
0.207,74.4703554622986
0.208,68.7036745381363
0.209,62.3271749349767
0.21,55.3974549147139
0.211,47.9760231628295
0.212,40.1287528329453
0.213,31.925296852047
0.214,23.4384696761756
0.215,14.7436009841595
0.216,5.91786704605153
0.217,-2.96039429890571
0.218,-11.8123789744879
0.219,-20.5595161380491
0.22,-29.1241655808819
0.221,-37.430306868207
0.222,-45.404214101935
0.223,-52.9751103169556
0.224,-60.0757957024912
